위치,위도,경도
한성대입구(삼선교),37.588374,127.005907
성신여대입구(돈암),37.59272,127.016544
길음,37.603185,127.024914
미아사거리,37.613251,127.030084
미아(서울사이버대학),37.626394,127.026132
수유(강북구청),37.637979,127.02562
쌍문,37.6522545,127.0304855
남태령,37.464237,126.989097
창동,37.648965,127.0433646
노원,37.654527,127.060551
상계,37.660566,127.073202
당고개,37.67026,127.079011
오금,37.5022335,127.128354
경찰병원,37.495694,127.12419
가락시장,37.4923175,127.118104
수서,37.4874685,127.1013245
일원,37.483869,127.084032
대청,37.493601,127.079526
학여울,37.496683,127.070549
대치,37.494569,127.063446
도곡,37.49106,127.0556945
매봉,37.48703500000001,127.046918
양재(서초구청),37.484102,127.034369
남부터미널(예술의전당),37.48491,127.016274
교대(법원.검찰청),37.4934705,127.0142285
고속터미널,37.5049142,127.0049151
잠원,37.51296,127.011611
신사,37.524124,127.022883
압구정,37.531684,127.0302926
옥수,37.540514,127.018698
금호,37.54826,127.015789
약수,37.554431,127.010444
동대입구,37.558126,127.005316
충무로,37.5609739,126.9935287
을지로3가,37.566286,126.9917735
종로3가,37.5715,126.9912475
안국,37.576556,126.985472
경복궁(정부서울청사),37.575838,126.97358
독립문,37.574453,126.957918
무악재,37.582634,126.950134
홍제,37.588792,126.944094
녹번,37.600869,126.935761
불광,37.6105025,126.9298435
연신내,37.618812,126.920842
구파발,37.636581,126.918833
지축,37.64811400000001,126.913746
용두(동대문구청),37.573927,127.038653
신정네거리,37.520209,126.852796
양천구청,37.512322,126.865633
도림천,37.51446,126.882624
신설동,37.575326,127.0248495
신답,37.569889,127.04701
용답,37.56217,127.050835
충정로(경기대입구),37.560055,126.963672
아현,37.557382,126.956083
이대,37.556761,126.945857
신촌,37.559768,126.942308
홍대입구,37.557527,126.9244669
합정,37.5463089,126.9101219
당산,37.5340278,126.9019901
영등포구청,37.5248203,126.8959946
문래,37.517989,126.894808
신도림,37.508562,126.891336
대림(구로구청),37.4930835,126.8957865
구로디지털단지,37.48525,126.901472
신대방,37.487519,126.913282
신림,37.4626176,126.9383251
봉천,37.482476,126.941574
서울대입구(관악구청),37.48121,126.952712
낙성대,37.477117,126.963418
사당,37.476559,126.981633
방배,37.481512,126.997638
서초,37.49184,127.007688
교대(법원.검찰청),37.4934705,127.0142285
강남,37.49794199999999,127.027621
역삼,37.500326,127.036087
선릉,37.504479,127.048941
삼성(무역센터),37.508861,127.063149
종합운동장,37.51105099999999,127.073774
잠실새내,37.511624,127.085585
잠실(송파구청),37.5132612,127.1001336
잠실나루,37.520661,127.103822
강변(동서울터미널),37.535144,127.094672
구의(광진구청),37.5368933,127.0852645
건대입구,37.540389,127.069236
성수,37.544603,127.055957
뚝섬,37.54724,127.04731
한양대,37.5556003,127.0436832
왕십리(성동구청),37.5611284,127.035505
상왕십리,37.5645,127.028872
신당,37.565671,127.019468
동대문역사문화공원,37.565102,127.007765
을지로4가,37.5670145,126.9978305
을지로3가,37.566286,126.9917735
을지로입구,37.566056,126.982662
시청,37.5657037,126.9768616
동묘앞,37.572729,127.016008
청량리(서울시립대입구),37.581381,127.048958
제기동,37.578162,127.034895
신설동,37.575326,127.0248495
동대문,0,0
종로5가,37.570988,127.001921
종로3가,37.5715,126.9912475
종각,37.570169,126.983099
시청,37.5657037,126.9768616
서울역,37.5536067,126.9696195
김유정,37.818475,127.714302
남춘천,37.864071,127.723761
춘천,37.8849671,127.7169845
서울역,37.5536067,126.9696195
공덕,37.54322,126.951576
홍대입구,37.557527,126.9244669
디지털미디어시티,37.5779636,126.9004205
김포공항,37.5618288,126.8019274
계양,37.571594,126.7363805
4.19민주묘지,0,0
검암,37.5692314,126.6736077
청라국제도시,37.5563477,126.6245342
운서,37.492764,126.493844
공항화물청사,37.459049,126.477492
인천공항1터미널,37.4475135,126.4524015
영종,37.51213,126.52436
구산,37.610725,126.917879
새절(신사),37.591014,126.913582
증산(명지대앞),37.583933,126.909686
디지털미디어시티,37.5779636,126.9004205
선바위,37.451854,127.002164
월드컵경기장(성산),37.56965599999999,126.899058
마포구청,37.563418,126.903472
망원,37.5559772,126.9012821
합정,37.5463089,126.9101219
상수,37.5454728,126.9244174
광흥창(서강),37.547478,126.931855
대흥(서강대앞),37.547674,126.942332
공덕,37.54322,126.951576
이매,37.395846,127.128272
삼동,37.408566,127.203607
경기광주,37.398666,127.252369
초월,37.373389,127.299996
곤지암,37.3499838,127.341839
신둔도예촌,37.315656,127.404609
이천,37.264222,127.442135
부발,37.2598735,127.4903676
세종대왕릉,37.294217,127.570749
여주,37.282248,127.628612
서울역,37.5536067,126.9696195
남영,37.540597,126.971171
용산,37.52989,126.964775
노량진,37.514072,126.94167
대방,37.5125603,126.9263997
강촌,37.81829,127.63478
천왕,37.486686,126.838681
온수(성공회대입구),37.4921505,126.8236345
까치울,37.5062327,126.8113591
부천종합운동장,37.505452,126.797498
춘의,37.50371,126.787079
신중동,37.503052,126.77596
부천시청,37.504669,126.763602
상동,37.505802,126.753147
삼산체육관,37.506483,126.742024
굴포천,37.50823099999999,126.725813
부평구청,37.508073,126.72091
암사,37.558248,127.1304539
영등포,37.5154133,126.9071288
신도림,37.508562,126.891336
신길,37.517346,126.9164095
구로,37.5031784,126.8820367
가산디지털단지,37.48089,126.8825735
금천구청,37.455645,126.894003
석수,37.435161,126.902233
관악,37.41957800000001,126.908476
안양,37.4026846,126.9220496
명학,37.3900837,126.9305068
금정,37.372237,126.9434895
군포,37.353732,126.948517
효창공원앞,37.539289,126.961339
삼각지,37.5350315,126.9734515
녹사평(용산구청),37.534945,126.9853515
이태원,37.534533,126.994579
한강진,37.539518,127.001736
버티고개,37.5478919,127.0071227
약수,37.554431,127.010444
청구,37.5591145,127.0131005
신당,37.565671,127.019468
동묘앞,37.572729,127.016008
창신,37.579361,127.015281
보문,37.5803121,127.0227704
안암(고대병원앞),37.5870127,127.0268837
고려대(종암),37.590401,127.035859
월곡(동덕여대),37.601925,127.04153
상월곡(한국과학기술연구원),37.6066,127.048862
경마공원,37.443987,127.007899
대공원,37.435724,127.006474
과천,37.433205,126.996404
정부과천청사,37.426119,126.9898051
인덕원,37.400807,126.976384
평촌,37.394346,126.96388
범계,37.389854,126.950627
선릉,37.504479,127.048941
한티,37.496208,127.052883
도곡,37.49106,127.0556945
구룡,37.486985,127.059496
개포동,37.48916699999999,127.066502
대모산입구,37.491347,127.072702
수서,37.4874685,127.1013245
복정,37.470375,127.126685
수원,37.2664398,126.9994077
서울숲,37.5450111,127.0384781
압구정로데오,37.527385,127.040555
강남구청,37.517473,127.0411685
선정릉,37.5102747,127.0438167
가천대,37.44960200000001,127.126635
태평,37.439854,127.128035
모란,37.432124,127.129064
야탑,37.41132,127.128661
서현,37.384931,127.123249
수내,37.378435,127.114216
정자,37.3638388,127.1163207
미금,37.350078,127.108952
의왕,37.320648,126.948099
성균관대,37.300344,126.97086
화서,37.28399,126.989581
수원,37.2664398,126.9994077
독산,37.4659942,126.8895083
세류,37.2441023,127.0137721
병점,37.206821,127.033268
세마,37.187288,127.043279
오산대,37.17031350000001,127.0600685
오산,37.14581,127.067125
판교,37.394798,127.111135
진위,37.109771,127.062342
송탄,37.075533,127.054377
서정리,37.057003,127.053294
지제,37.018822,127.070269
평택,36.991145,127.084981
성환,36.916675,127.126936
직산,36.870921,127.143774
두정,36.833791,127.148905
천안,36.809084,127.146561
당정,37.34338,126.948388
서동탄,37.195675,127.051893
광명,37.416522,126.884789
이촌(국립중앙박물관),37.5224761,126.9738155
서빙고,37.51961,126.988358
한남,37.52936100000001,127.008984
옥수,37.540514,127.018698
응봉,37.5504328,127.0348241
왕십리(성동구청),37.5611284,127.035505
오리,37.339832,127.108985
이매,37.395846,127.128272
보정,37.31274,127.108219
죽전,37.3290605,127.1264906
구성,37.299013,127.105664
신갈,37.286127,127.111311
기흥,37.275657,127.115944
상갈,37.261797,127.108718
청명,37.2595832,127.0790738
영통,37.251521,127.07134
망포,37.2457927,127.0573667
매탄권선,37.252951,127.040459
신길온천,37.337488,126.767306
수원시청,37.261941,127.030736
매교,37.265502,127.015657
달월,37.379993,126.745431
월곶,37.391813,126.742693
천호(풍납토성),37.538289,127.1233835
강동구청,37.53051,127.120535
몽촌토성(평화의문),37.517641,127.11274
잠실(송파구청),37.5132612,127.1001336
석촌,37.505438,127.106981
송파,37.499739,127.112201
가락시장,37.4923175,127.118104
문정,37.4859861,127.1224677
장지,37.477699,127.126274
복정,37.470375,127.126685
산성,37.456639,127.150057
남한산성입구(성남법원.검찰청),37.451541,127.159821
단대오거리,37.44504999999999,127.156709
신흥,37.440949,127.147493
수진,37.4376114,127.1410201
모란,37.432124,127.129064
개화,37.578576,126.797391
김포공항,37.5618288,126.8019274
백양리,37.82768799999999,127.6124
굴봉산,37.832086,127.557732
가평,37.814515,127.510693
상천,37.770405,127.4542002
청평,0,0
대성리,37.6805595,127.376729
마석,37.652797,127.31168
천마산,37.65899539999999,127.2857308
평내호평,37.653229,127.244452
금곡,37.637414,127.207931
소래포구,37.400963,126.733533
인천논현,37.400641,126.722495
호구포,37.401622,126.708682
남동인더스파크,37.407772,126.695235
원인재,37.412757,126.6871295
연수,37.41736,126.678473
송도,37.429714,126.654485
인하대,37.448191,126.649832
숭의,37.460889,126.638083
신포,37.468442,126.624509
돌곶이,37.610493,127.056403
