위치,위도,경도
길음,37.6073126,127.023926
미아사거리,37.613251,127.030084
미아(서울사이버대학),37.626394,127.026132
수유(강북구청),37.6397767,127.0255184
쌍문,37.6522545,127.0304855
남태령,37.464237,126.989097
창동,37.648965,127.0433646
노원,37.6541917,127.056793
상계,0,0
당고개,37.67026,127.079011
오금,37.5029895,127.1278734
경찰병원,37.4963176,127.1234353
가락시장,37.4928569,127.1148684
수서,37.4874685,127.1013245
일원,0,0
대청,0,0
학여울,37.496683,127.070549
대치,37.4994914,127.0610527
도곡,37.4898434,127.0438136
매봉,37.48703500000001,127.046918
양재(서초구청),37.483574,127.032661
남부터미널(예술의전당),37.48491,127.016274
교대(법원.검찰청),0,0
고속터미널,37.5054076,127.0070817
잠원,37.51296,127.011611
신사,48.07872200000001,-121.9924401
압구정,37.531684,127.0302926
옥수,0,0
금호,41.9685893,-87.7106426
약수,0,0
동대입구,37.558126,127.005316
충무로,37.5651176,126.99278
을지로3가,37.566286,126.9917735
종로3가,37.5715,126.9912475
안국,0,0
경복궁(정부서울청사),37.5748671,126.9751362
독립문,37.572395,126.959527
무악재,37.582634,126.950134
홍제,37.58551120000001,126.9489831
녹번,37.6059975,126.9339654
불광,37.6183087,126.9390451
연신내,37.618812,126.920842
구파발,37.636581,126.918833
지축,37.64811400000001,126.913746
용두(동대문구청),37.5744155,127.0397427
신정네거리,37.520209,126.852796
양천구청,37.5169976,126.8665375
도림천,37.4944444,126.9263889
신설동,37.575326,127.0248495
신답,37.569889,127.04701
용답,37.56217,127.050835
충정로(경기대입구),37.560055,126.963672
아현,37.5541171,126.9569379
이대,37.5618577,126.9468294
신촌,37.5594793,126.9435838
홍대입구,40.8443399,-74.0051453
합정,37.5463089,126.9101219
당산,37.5340278,126.9019901
영등포구청,37.526344,126.896256
문래,37.5169837,126.8993953
신도림,0,0
대림(구로구청),37.4930835,126.8957865
구로디지털단지,37.48525,126.901472
신대방,37.4915587,126.9166265
신림,37.4626176,126.9383251
봉천,37.4794085,126.9535822
서울대입구(관악구청),37.48121,126.952712
낙성대,37.4710739,126.9600018
사당,37.476559,126.981633
방배,37.4799348,126.9934602
서초,37.4837121,127.0324112
교대(법원.검찰청),0,0
강남,37.5172363,127.0473248
역삼,37.4999072,127.0373932
선릉,37.506951,127.0518735
삼성(무역센터),37.5130619,127.0586443
종합운동장,37.5157882,127.0727934
잠실새내,37.511624,127.085585
잠실(송파구청),37.51289879999999,127.0829932
잠실나루,37.520661,127.103822
강변(동서울터미널),37.534385,127.094045
구의(광진구청),37.5385333,127.0823772
건대입구,37.540389,127.069236
성수,0,0
뚝섬,0,0
한양대,37.5572321,127.0453219
왕십리(성동구청),37.563453,127.036964
상왕십리,37.5645,127.028872
신당,0,0
동대문역사문화공원,37.565102,127.007765
을지로4가,37.5670145,126.9978305
을지로3가,37.566286,126.9917735
을지로입구,37.566056,126.982662
시청,37.7792597,-122.4192646
동묘앞,37.572729,127.016008
청량리(서울시립대입구),37.581381,127.048958
제기동,37.5833567,127.0367969
신설동,37.575326,127.0248495
동대문,37.5711389,127.0095452
종로5가,37.5704682,127.0038437
종로3가,37.5715,126.9912475
종각,37.570169,126.983099
시청,37.7792597,-122.4192646
서울역,37.5536067,126.9696195
김유정,0,0
남춘천,37.864071,127.723761
춘천,37.8813153,127.7299707
서울역,37.5536067,126.9696195
공덕,37.54322,126.951576
홍대입구,40.8443399,-74.0051453
디지털미디어시티,37.577678,126.8921328
김포공항,37.5586545,126.7944739
계양,37.53695039999999,126.7377435
4.19민주묘지,0,0
검암,37.5692314,126.6736077
청라국제도시,37.556401,126.624678
운서,37.492764,126.493844
공항화물청사,37.459049,126.477492
인천공항1터미널,37.4475135,126.4524015
영종,37.5000629,126.5358479
구산,37.6117223,126.9103085
새절(신사),37.591014,126.913582
증산(명지대앞),37.583933,126.909686
디지털미디어시티,37.577678,126.8921328
선바위,0,0
월드컵경기장(성산),37.56965599999999,126.899058
마포구청,37.5662001,126.9016437
망원,37.5555904,126.9055602
합정,37.5463089,126.9101219
상수,38.97361679999999,-95.23878769999999
광흥창(서강),37.547478,126.931855
대흥(서강대앞),37.547674,126.942332
공덕,37.54322,126.951576
이매,37.3945261,127.1325782
삼동,37.3222685,126.9571847
경기광주,37.4171413,127.2561413
초월,0,0
곤지암,34.076564,-118.3110534
신둔도예촌,37.315656,127.404609
이천,37.2719952,127.4348221
부발,37.2598735,127.4903676
세종대왕릉,37.3139557,127.6087087
여주,37.2980237,127.6371628
서울역,37.5536067,126.9696195
남영,0,0
용산,37.5384272,126.9654442
노량진,37.5110026,126.9416329
대방,0,0
강촌,37.81829,127.63478
천왕,0,0
온수(성공회대입구),37.4921505,126.8236345
까치울,37.5062327,126.8113591
부천종합운동장,37.50265,126.798989
춘의,37.50371,126.787079
신중동,37.503052,126.77596
부천시청,37.503394,126.765962
상동,37.5003271,126.7498232
삼산체육관,37.507677,126.7378
굴포천,0,0
부평구청,37.5069818,126.7217739
암사,37.558248,127.1304539
영등포,37.5263715,126.8962283
신도림,0,0
신길,37.5062485,126.9139521
구로,37.4954031,126.887369
가산디지털단지,37.48089,126.8825735
금천구청,37.4518527,126.9020358
석수,37.435161,126.902233
관악,37.4784063,126.9516133
안양,37.3942527,126.9568209
명학,0,0
금정,0,0
군포,37.3616703,126.9351741
효창공원앞,37.539289,126.961339
삼각지,37.5350315,126.9734515
녹사평(용산구청),37.5325896,126.9900429
이태원,37.5400456,126.9921017
한강진,37.539518,127.001736
버티고개,37.5478919,127.0071227
약수,0,0
청구,0,0
신당,0,0
동묘앞,37.572729,127.016008
창신,0,0
보문,0,0
안암(고대병원앞),37.5870127,127.0268837
고려대(종암),37.590401,127.035859
월곡(동덕여대),37.6063202,127.041808
상월곡(한국과학기술연구원),37.59842200000001,127.043023
경마공원,37.4473604,127.0156347
대공원,37.5482248,127.0808374
과천,37.429246,126.9874451
정부과천청사,37.426119,126.9898051
인덕원,37.400807,126.976384
평촌,37.3884646,126.9640705
범계,37.389854,126.950627
선릉,37.506951,127.0518735
한티,37.496208,127.052883
도곡,37.4898434,127.0438136
구룡,43.2133693,-123.3199916
개포동,37.4789643,127.0609282
대모산입구,37.491347,127.072702
수서,37.4874685,127.1013245
복정,37.470375,127.126685
수원,37.2635727,127.0286009
서울숲,37.5450111,127.0384781
압구정로데오,37.527385,127.040555
강남구청,37.5172363,127.0473248
선정릉,37.506951,127.0518735
가천대,37.4507452,127.1288474
태평,32.8268767,-117.1551215
모란,41.30325819999999,-94.4643536
야탑,37.41132,127.128661
서현,0,0
수내,37.3713177,127.1223533
정자,35.695692,-97.548363
미금,37.350078,127.108952
의왕,37.344701,126.9683104
성균관대,37.588227,126.993606
화서,37.2810423,127.000642
수원,37.2635727,127.0286009
독산,0,0
세류,37.2441023,127.0137721
병점,37.206821,127.033268
세마,32.8901867,-96.968226
오산대,37.155809,127.061223
오산,37.1498096,127.0772212
판교,37.394798,127.111135
진위,37.109771,127.062342
송탄,37.0424619,127.0863073
서정리,37.057003,127.053294
지제,37.018822,127.070269
평택,36.9921075,127.1129451
성환,36.916675,127.126936
직산,36.87867440000001,127.1505236
두정,36.833791,127.148905
천안,36.815129,127.1138939
당정,37.34338,126.948388
서동탄,37.195675,127.051893
광명,37.4784878,126.8642888
이촌(국립중앙박물관),37.5238506,126.9804702
서빙고,37.520402,126.9945799
한남,37.5368389,127.0049989
옥수,0,0
응봉,37.5504328,127.0348241
왕십리(성동구청),37.563453,127.036964
오리,0,0
이매,37.3945261,127.1325782
보정,0,0
죽전,37.3290605,127.1264906
구성,33.601515,-117.873181
신갈,37.2833789,127.1017312
기흥,37.2801554,127.114659
상갈,35.9610964,-95.39263989999999
청명,0,0
영통,37.2594897,127.0466381
망포,37.2457927,127.0573667
매탄권선,37.252951,127.040459
신길온천,37.337488,126.767306
수원시청,37.263406,127.028584
매교,37.265502,127.015657
달월,0,0
월곶,37.3847999,126.7579922
천호(풍납토성),37.5386797,127.1223729
강동구청,37.5299586,127.1234564
몽촌토성(평화의문),37.5182654,127.1153186
잠실(송파구청),37.51289879999999,127.0829932
석촌,37.503517,127.1035697
송파,37.5145437,127.1065971
가락시장,37.4928569,127.1148684
문정,37.4851331,127.1238462
장지,0,0
복정,37.470375,127.126685
산성,0,0
남한산성입구(성남법원.검찰청),37.451541,127.159821
단대오거리,37.44504999999999,127.156709
신흥,0,0
수진,33.6024833,-83.84823659999999
모란,41.30325819999999,-94.4643536
개화,0,0
김포공항,37.5586545,126.7944739
백양리,37.82768799999999,127.6124
굴봉산,37.832086,127.557732
가평,37.8315403,127.5098827
상천,0,0
청평,37.7404063,127.4241436
대성리,37.7154501,127.379715
마석,37.652797,127.31168
천마산,37.680556,127.272778
평내호평,37.653229,127.244452
금곡,37.6310941,127.2141655
소래포구,37.3986586,126.7407626
인천논현,37.4075188,126.7056
호구포,37.401622,126.708682
남동인더스파크,37.407772,126.695235
원인재,37.414465,126.6909185
연수,0,0
송도,37.3839118,126.6438546
인하대,37.449627,126.653116
숭의,37.5563973,126.9874967
신포,40.0368453,128.1839467
돌곶이,37.610493,127.056403
