"메인 키","기관 코드","기관 명","전화번호","우편번호","행정 시","행정 구","행정 동"
"BE_LiST32-0247","1334789","Meokgol Police Box","02-973-4702","02031","Seoul","Jungnang-gu","Muk1-dong"
"BE_LiST32-0248","1334243","Myeonmokbondong Police Box","02-434-0469","02202","Seoul","Jungnang-gu","Myeonmokbon-dong"
"BE_LiST32-0249","1334244","Myeonmok 38(sampal) Police Box","02-435-9438","02222","Seoul","Jungnang-gu","Myeonmok3.8-dong"
"BE_LiST32-0250","1332387","Bonghwa Patrol Division","02-3422-0018","02024","Seoul","Jungnang-gu","Sinnae2-dong"
"BE_LiST32-0251","1334787","Sangbong Police Box","02-433-1675","02118","Seoul","Jungnang-gu","Myeonmok2-dong"
"BE_LiST32-0252","1332358","Yongma Patrol Division","02-434-3007","02236","Seoul","Jungnang-gu","Myeonmok5-dong"
"BE_LiST32-0253","1335585","Junghwa Patrol Division","02-434-8768","02113","Seoul","Jungnang-gu","Junghwa2-dong"
"BE_LiST32-0254","1329261","Seoul Jungbu Police Station","182","04552","Seoul","Jung-gu","Euljiro-dong"
"BE_LiST32-0255","1334232","Gwanghui Patrol Division","02-2233-1444","04566","Seoul","Jung-gu","Sindang-dong"
"BE_LiST32-0256","1334233","Sindang Police Box","02-2252-0435","04577","Seoul","Jung-gu","Sindang5-dong"
"BE_LiST32-0257","1332612","Yaksu Patrol Division","02-2234-8112","04596","Seoul","Jung-gu","Yaksu-dong"
"BE_LiST32-0258","1335003","Euljiro 3(sam)-ga Police Box","02-2266-2404","04549","Seoul","Jung-gu","Euljiro-dong"
"BE_LiST32-0259","1331383","Eulji Patrol Division","02-2279-1908","04561","Seoul","Jung-gu","Euljiro-dong"
"BE_LiST32-0260","1334234","Jangchung Police Box","02-2274-9003","04620","Seoul","Jung-gu","Jangchung-dong"
"BE_LiST32-0261","1334726","Chungmu Police Box","02-2266-7710","04627","Seoul","Jung-gu","Pil-dong"
"BE_LiST32-0262","1332617","Seoul Hyehwa Police Station","182","03130","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_LiST32-0263","1334738","Daehangno Police Box","02-763-1230","03088","Seoul","Jongno-gu","Ihwa-dong"
"BE_LiST32-0264","1334742","Deoksan Police Box","02-763-6843","03096","Seoul","Jongno-gu","Changsin2-dong"
"BE_LiST32-0265","1334741","Dongmyo Police Box","02-2252-0547","03114","Seoul","Jongno-gu","Sungin2-dong"
"BE_LiST32-0266","1334739","Myeongryun Police Box","02-762-1120","03069","Seoul","Jongno-gu","Hyehwa-dong"
"BE_LiST32-0267","1334743","Jongno 5(o)-ga Police Box","02-2267-2287","03195","Seoul","Jongno-gu","Jongno5.6ga-dong"
"BE_LiST32-0268","1334740","Changsin Police Box","02-763-4200","03094","Seoul","Jongno-gu","Changsin3-dong"
"BE_LiST32-0269","1334239","Hyehwa Police Box","02-762-0811","03076","Seoul","Jongno-gu","Hyehwa-dong"
"BE_LiST32-0270","1334744","Hyojae Police Box","02-762-8485","03123","Seoul","Jongno-gu","Jongno5.6ga-dong"
"BE_LiST32-0075","1329294","Seoul Namdaemun Police Station","182","04637","Seoul","Jung-gu","Hoehyeon-dong"
"BE_LiST32-0076","1329304","Namdaemun Police Box","02-778-7041","04528","Seoul","Jung-gu","Hoehyeon-dong"
"BE_LiST32-0077","1332948","Myeongdong Police Box","02-771-0268","04536","Seoul","Jung-gu","Myeong-dong"
"BE_LiST32-0078","1334733","Seosomun Police Box","02-777-1942","04515","Seoul","Jung-gu","Sogong-dong"
"BE_LiST32-0079","1334236","Seoul Station Police Box","02-778-1875","04509","Seoul","Jung-gu","Hoehyeon-dong"
"BE_LiST32-0080","1332875","Jungnim Police Box","02-363-6344","04502","Seoul","Jung-gu","Jungnim-dong"
"BE_LiST32-0081","1334732","Taepyeongno Police Box","02-777-2593","04521","Seoul","Jung-gu","Myeong-dong"
"BE_LiST32-0082","1334237","Hoehyeon Police Box","02-778-3390","04634","Seoul","Jung-gu","Hoehyeon-dong"
"BE_LiST32-0083","1329882","Seoul Nowon Police Station","182","01788","Seoul","Nowon-gu","Hagye1-dong"
"BE_LiST32-0084","1332886","Nowon Station Patrol Division","02-2092-0304","01752","Seoul","Nowon-gu","Sanggye6.7-dong"
"BE_LiST32-0085","1334823","Danggogye Police Box","02-2092-0307","01639","Seoul","Nowon-gu","Sanggye3.4-dong"
"BE_LiST32-0086","1332692","Danghyeon Patrol Division","02-2092-0301","01787","Seoul","Nowon-gu","Junggye2.3-dong"
"BE_LiST32-0087","1335589","Madeul Patrol Division","02-2092-0306","01678","Seoul","Nowon-gu","Sanggye9-dong"
"BE_LiST32-0088","1335588","Bulam Patrol Division","02-2092-0305","01713","Seoul","Nowon-gu","Junggye1-dong"
"BE_LiST32-0089","1334825","Sanggye 1(il) Police Box","02-2092-0308","01604","Seoul","Nowon-gu","Sanggye1-dong"
"BE_LiST32-0090","1331511","Wolgye Patrol Division","02-2092-0302","01864","Seoul","Nowon-gu","Wolgye3-dong"
"BE_LiST32-0091","1331510","Hwarang Patrol Division","02-2092-0303","01845","Seoul","Nowon-gu","Gongneung1-dong"
"BE_LiST32-0092","1329939","Seoul Dobong Police Station","182","01415","Seoul","Dobong-gu","Chang4-dong"
"BE_LiST32-0093","1334830","Dobong 1(il) Police Box","02-2289-9853","01306","Seoul","Dobong-gu","Dobong1-dong"
"BE_LiST32-0094","1334831","Dobong 2(i) Police Box","02-2289-9863","01319","Seoul","Dobong-gu","Dobong2-dong"
"BE_LiST32-0095","1334834","Banghak Police Box","02-2289-9833","01345","Seoul","Dobong-gu","Banghak1-dong"
"BE_LiST32-0096","1334833","Sungmi Police Box","02-2289-9883","01381","Seoul","Dobong-gu","Ssangmun1-dong"
"BE_LiST32-0097","1334835","Sinbanghak Police Box","02-2289-9843","01362","Seoul","Dobong-gu","Banghak3-dong"
"BE_LiST32-0098","1334287","Sinchang Police Box","02-2289-9823","01460","Seoul","Dobong-gu","Chang2-dong"
"BE_LiST32-0099","1334832","Ssangmun Police Box","02-2289-9873","01394","Seoul","Dobong-gu","Ssangmun2-dong"
"BE_LiST32-0100","1335590","Changdong Patrol Division","02-2289-9813","01418","Seoul","Dobong-gu","Chang4-dong"
"BE_LiST32-0101","1332833","Seoul Dongdaemun  Police Station","182","02486","Seoul","Dongdaemun-gu","Cheongnyangni-dong"
"BE_LiST32-0102","1332845","Dapsimni  Patrol Division","02-2245-4147","02541","Seoul","Dongdaemun-gu","Dapsimni1-dong"
"BE_LiST32-0103","1335321","Yongsin Patrol Division","02-923-2357","02587","Seoul","Dongdaemun-gu","Yongsin-dong"
"BE_LiST32-0104","1334753","Imun Police Box","02-961-8738","02423","Seoul","Dongdaemun-gu","Imun1-dong"
"BE_LiST32-0105","1334751","Jangan 1(il) Police Box","02-2243-1662","02624","Seoul","Dongdaemun-gu","Jangan1-dong"
"BE_LiST32-0106","1334752","Jangan 2(i) Police Box","02-2212-8420","02521","Seoul","Dongdaemun-gu","Jangan2-dong"
"BE_LiST32-0107","1334758","Jeonnong Police Box","02-2212-7058","02492","Seoul","Dongdaemun-gu","Jeonnong1-dong"
"BE_LiST32-0108","1334756","Jegi Police Box","02-928-5065","02465","Seoul","Dongdaemun-gu","Jegi-dong"
"BE_LiST32-0109","1334757","Cheongnyangni Station Police Box","02-959-1454","02555","Seoul","Dongdaemun-gu","Jeonnong1-dong"
"BE_LiST32-0110","1334755","Cheonghoe Police Box","02-959-9197","02486","Seoul","Dongdaemun-gu","Cheongnyangni-dong"
"BE_LiST32-0111","1334754","Hwigyeong Police Box","02-968-2304","02511","Seoul","Dongdaemun-gu","Jangan2-dong"
"BE_LiST32-0112","1332634","Seoul Dongjak Police Station","182","06922","Seoul","Dongjak-gu","Noryangjin1-dong"
"BE_LiST32-0113","1332647","Namseong Patrol Division","02-3476-0112","07005","Seoul","Dongjak-gu","Sadang3-dong"
"BE_LiST32-0114","1332645","Nodeul Patrol Division","02-815-2470","06906","Seoul","Dongjak-gu","Noryangjin1-dong"
"BE_LiST32-0115","1332644","Noryangjin Patrol Division","02-815-3494","06932","Seoul","Dongjak-gu","Daebang-dong"
"BE_LiST32-0116","1335584","Daebang Patrol Division","02-821-2431","07074","Seoul","Dongjak-gu","Sindaebang1-dong"
"BE_LiST32-0117","1332850","Sadang Patrol Division","02-521-0112","07015","Seoul","Dongjak-gu","Sadang1-dong"
"BE_LiST32-0118","1334772","Sangdo 3(sam) Police Box","02-814-6189","06953","Seoul","Dongjak-gu","Sangdo3-dong"
"BE_LiST32-0119","1332646","Sangdo Patrol Division","02-822-1960","06956","Seoul","Dongjak-gu","Sangdo2-dong"
"BE_LiST32-0120","1329428","Seoul Mapo Police Station","182","04130","Seoul","Mapo-gu","Ahyeon-dong"
"BE_LiST32-0121","1331420","Gongdeok Patrol Division","02-703-0492","04195","Seoul","Mapo-gu","Ahyeon-dong"
"BE_LiST32-0122","1334759","Mangwon Police Box","02-337-5908","04015","Seoul","Mapo-gu","Mangwon1-dong"
"BE_LiST32-0123","1334240","Sangam Police Box","02-309-9525","03927","Seoul","Mapo-gu","Sangam-dong"
"BE_LiST32-0124","1331415","Seogang Patrol Division","02-334-4975","04078","Seoul","Mapo-gu","Seogang-dong"
"BE_LiST32-0125","1335387","Yeonnam Police Box","02-334-4974","03989","Seoul","Mapo-gu","Yeonnam-dong"
"BE_LiST32-0126","1331416","Yonggang Patrol Division","02-716-6391","04170","Seoul","Mapo-gu","Dohwa-dong"
"BE_LiST32-0127","1331419","Worldcup Patrol Division","02-373-1113","03946","Seoul","Mapo-gu","Seongsan2-dong"
"BE_LiST32-0128","1331418","Hongik Patrol Division","02-334-8150","04036","Seoul","Mapo-gu","Seogyo-dong"
"BE_LiST32-0129","1329903","Seoul Bangbae Police Station","182","06677","Seoul","Seocho-gu","Bangbae2-dong"
"BE_LiST32-0130","1331513","Namtaeryeong Patrol Division","02-582-8410","06691","Seoul","Seocho-gu","Bangbae2-dong"
"BE_LiST32-0131","1334827","Bangbae 1(il) Police Box","02-583-7694","06665","Seoul","Seocho-gu","Bangbae1-dong"
"BE_LiST32-0132","1335593","Seorae Police Box","02-534-0116","06549","Seoul","Seocho-gu","Banpo2-dong"
"BE_LiST32-0133","1334826","Isu Police Box","02-599-3880","06557","Seoul","Seocho-gu","Bangbaebon-dong"
"BE_LiST32-0134","1329309","Seoul Seodaemun Police Station","182","03738","Seoul","Seodaemun-gu","Chunghyeon-dong"
"BE_LiST32-0135","1334734","Namgajwa Police Box","02-335-8305","03692","Seoul","Seodaemun-gu","Namgajwa2-dong"
"BE_LiST32-0136","1334735","Bukgajwa Police Box","02-335-8306","03677","Seoul","Seodaemun-gu","Bukgajwa2-dong"
"BE_LiST32-0137","1331395","Sinchon Patrol Division","02-335-8302","03766","Seoul","Seodaemun-gu","Sinchon-dong"
"BE_LiST32-0138","1334736","Yeonhui Police Box","02-335-8304","03699","Seoul","Seodaemun-gu","Yeonhui-dong"
"BE_LiST32-0139","1331394","Chungjeongno Patrol Division","02-335-8301","03734","Seoul","Seodaemun-gu","Cheonyeon-dong"
"BE_LiST32-0140","1334737","Hongeun 2(i) Police Box","02-335-8308","03653","Seoul","Seodaemun-gu","Hongeun2-dong"
"BE_LiST32-0141","1335592","Hongeun Police Box","02-335-8303","03611","Seoul","Seodaemun-gu","Hongeun1-dong"
"BE_LiST32-0142","1334238","Hongjae Police Box","02-335-8307","03639","Seoul","Seodaemun-gu","Hongje1-dong"
"BE_LiST32-0143","1329564","Seoul Seobu Police Station","182","03458","Seoul","Eunpyeong-gu","Nokbeon-dong"
"BE_LiST32-0144","1334777","Nokbeon Police Box","02-355-7112","03371","Seoul","Eunpyeong-gu","Nokbeon-dong"
"BE_LiST32-0145","1332661","Sinsa Patrol Division","02-303-4403","03446","Seoul","Eunpyeong-gu","Sinsa2-dong"
"BE_LiST32-0146","1334778","Eungam 3(sam) Police Box","02-302-0214","03467","Seoul","Eunpyeong-gu","Eungam3-dong"
"BE_LiST32-0147","1331442","Eungam Patrol Division","02-352-4289","03460","Seoul","Eunpyeong-gu","Eungam1-dong"
"BE_LiST32-0148","1329813","Seoul Seocho Police Station","182","06590","Seoul","Seocho-gu","Seocho3-dong"
"BE_LiST32-0149","1332883","Naegok Police Box","02-573-5826","06793","Seoul","Seocho-gu","Naegok-dong"
"BE_LiST32-0150","1331497","Banpo Patrol Division","02-536-8477","06545","Seoul","Seocho-gu","Banpo4-dong"
"BE_LiST32-0151","1334814","Seocho 2(i) Police Box","02-581-1120","06629","Seoul","Seocho-gu","Seocho2-dong"
"BE_LiST32-0152","1334813","Seocho 3(sam) Police Box","02-582-2120","06646","Seoul","Seocho-gu","Seocho3-dong"
"BE_LiST32-0153","1334812","Seocho Police Box","02-583-6249","06643","Seoul","Seocho-gu","Seocho1-dong"
"BE_LiST32-0154","1334810","Yangjae Police Box","02-572-0692","06738","Seoul","Seocho-gu","Yangjae1-dong"
"BE_LiST32-0155","1334811","Umyeon Police Box","02-572-0113","06762","Seoul","Seocho-gu","Yangjae1-dong"
"BE_LiST32-0156","1329479","Seoul Seongdong Police Station","182","04750","Seoul","Seongdong-gu","Haengdang1-dong"
"BE_LiST32-0157","1334770","Geumho Police Box","02-2231-6253","04723","Seoul","Seongdong-gu","Guemho2.3ga-dong"
"BE_LiST32-0158","1332876","Seoul Forest Patrol Division ","02-464-0113","04775","Seoul","Seongdong-gu","Seongsu2ga1-dong"
"BE_LiST32-0159","1332633","Seongsu Patrol Division","02-463-0112","04792","Seoul","Seongdong-gu","Seongsu2ga3-dong"
"BE_LiST32-0160","1335547","Oksu Police Box","02-2298-5031","04733","Seoul","Seongdong-gu","Oksu-dong"
"BE_LiST32-0161","1334767","Wangsimni Police Box","02-2295-1241","04706","Seoul","Seongdong-gu","Wangsimnidoseon-dong"
"BE_LiST32-0162","1332877","Yongdap Police Box","02-2245-0189","04804","Seoul","Seongdong-gu","Yongdap-dong"
"BE_LiST32-0163","1334769","Eungbong Police Box","02-2293-0306","04720","Seoul","Seongdong-gu","Eungbong-dong"
"BE_LiST32-0164","1331425","Hanyang Patrol Division","02-2292-5975","04761","Seoul","Seongdong-gu","Sageun-dong"
"BE_LiST32-0165","1334766","Haengdang Police Box","02-2292-1812","04713","Seoul","Seongdong-gu","Haengdang2-dong"
"BE_LiST32-0166","1329377","Seoul Seongbuk Police Station","182","02848","Seoul","Seongbuk-gu","Samseon-dong"
"BE_LiST32-0167","1331408","Gireum Patrol Division","02-919-9723","02724","Seoul","Seongbuk-gu","Gireum1-dong"
"BE_LiST32-0168","1331405","Donam Patrol Division","02-926-2236","02826","Seoul","Seongbuk-gu","Donam2-dong"
"BE_LiST32-0169","1332547","Seongbuk Police Box","02-762-0103","02837","Seoul","Seongbuk-gu","Seongbuk-dong"
"BE_LiST32-0170","1331406","Anam Patrol Division","02-926-9520","02870","Seoul","Seongbuk-gu","Bomun-dong"
"BE_LiST32-0171","1334750","Jeongneung 2(i) Police Box","02-914-0730","02814","Seoul","Seongbuk-gu","Jeongneung2-dong"
"BE_LiST32-0172","1334749","Jeongneung Police Box","02-919-9757","02702","Seoul","Seongbuk-gu","Jeongneung4-dong"
"BE_LiST32-0173","1329860","Seoul Songpa Police Station","182","05701","Seoul","Songpa-gu","Garakbon-dong"
"BE_LiST32-0174","1331507","Garak Patrol Division","02-3402-6304","05715","Seoul","Songpa-gu","Garakbon-dong"
"BE_LiST32-0175","1334821","Geoyeo Police Box","02-3402-6307","05767","Seoul","Songpa-gu","Geoyeo2-dong"
"BE_LiST32-0176","1334819","Macheon Police Box","02-3402-6306","05756","Seoul","Songpa-gu","Macheon2-dong"
"BE_LiST32-0177","1335587","Munjeong Patrol Division","02-3402-6305","05802","Seoul","Songpa-gu","Jangji-dong"
"BE_LiST32-0178","1331505","Bangi Patrol Division","02-3402-6301","05639","Seoul","Songpa-gu","Bangi1-dong"
"BE_LiST32-0179","1332690","Samcheon Patrol Division","02-3402-6303","05584","Seoul","Songpa-gu","Samjeon-dong"
"BE_LiST32-0180","1334817","Sincheon Police Box","02-3402-6310","05507","Seoul","Songpa-gu","Jamsil4-dong"
"BE_LiST32-0181","1334820","Ogeum Police Box","02-3402-6309","05659","Seoul","Songpa-gu","Ogeum-dong"
"BE_LiST32-0182","1332691","Jamsil Patrol Division","02-3402-6302","05501","Seoul","Songpa-gu","Jamsil2-dong"
"BE_LiST32-0183","1334818","Pungnap Police Box","02-3402-6308","05520","Seoul","Songpa-gu","Pungnap2-dong"
"BE_LiST32-0184","1329960","Seoul Suseo Police Station","182","06336","Seoul","Gangnam-gu","Irwon2-dong"
"BE_LiST32-0185","1334837","Gaepo Police Box","02-571-0112","06306","Seoul","Gangnam-gu","Gaepo4-dong"
"BE_LiST32-0186","1329981","Daewang Police Box","02-3411-0323","06376","Seoul","Gangnam-gu","Segok-dong"
"BE_LiST32-0187","1332697","Daechi Patrol Division","02-538-1312","06281","Seoul","Gangnam-gu","Daechi1-dong"
"BE_LiST32-0188","1332696","Dogok Patrol Division","02-568-2522","06297","Seoul","Gangnam-gu","Dogok2-dong"
"BE_LiST32-0189","1332698","Suseo Police Box","02-445-0112","06349","Seoul","Gangnam-gu","Suseo-dong"
"BE_LiST32-0190","1334836","Ilwon Police Box","02-3411-0112","06338","Seoul","Gangnam-gu","Irwon1-dong"
"BE_LiST32-0191","1329834","Seoul Yangcheon Police Station","182","08095","Seoul","Yangcheon-gu","Sinjeong6-dong"
"BE_LiST32-0192","1331499","Mok 1(il) Patrol Division ","02-2648-0040","07983","Seoul","Yangcheon-gu","Mok5-dong"
"BE_LiST32-0193","1331502","Mok 2(i) Patrol Division ","02-2652-0112","07951","Seoul","Yangcheon-gu","Mok3-dong"
"BE_LiST32-0194","1334815","Sinwol 1(il) Police Box","02-2602-0092","07921","Seoul","Yangcheon-gu","Sinwol1-dong"
"BE_LiST32-0195","1331500","Sinwol 2(i) Patrol Division ","02-2608-0112","08038","Seoul","Yangcheon-gu","Sinwol7-dong"
"BE_LiST32-0196","1334816","Sinwol 5(o) Police Box","02-2693-0113","07904","Seoul","Yangcheon-gu","Sinwol5-dong"
"BE_LiST32-0197","1331501","Sinjeong 1(il) Patrol Division ","02-2643-0113","08087","Seoul","Yangcheon-gu","Sinjeong1-dong"
"BE_LiST32-0198","1331503","Sinjeong 2(i) Patrol Division ","02-2699-0678","08103","Seoul","Yangcheon-gu","Sinjeong7-dong"
"BE_LiST32-0199","1332884","Sinjeong 3(sam) Police Box ","02-2696-2305","08078","Seoul","Yangcheon-gu","Sinjeong3-dong"
"BE_LiST32-0200","1329457","Seoul Yeongdeungpo Police Station","182","07258","Seoul","Yeongdeungpo-gu","Dangsan1-dong"
"BE_LiST32-0201","1335189","Dangsan Police Box","02-2633-3874","07213","Seoul","Yeongdeungpo-gu","Dangsan2-dong"
"BE_LiST32-0202","1334762","Daerim 3(sam) Police Box ","02-848-1918","07412","Seoul","Yeongdeungpo-gu","Daerim3-dong"
"BE_LiST32-0203","1334761","Daerim Police Box ","02-847-0112","07417","Seoul","Yeongdeungpo-gu","Daerim2-dong"
"BE_LiST32-0204","1331424","Mullae Patrol Division","02-2633-5060","07299","Seoul","Yeongdeungpo-gu","Mullae-dong"
"BE_LiST32-0205","1332631","Singil Patrol Division","02-842-3386","07315","Seoul","Yeongdeungpo-gu","Yeongdeungpobon-dong"
"BE_LiST32-0206","1332630","Sinpung Patrol Division","02-833-2070","07430","Seoul","Yeongdeungpo-gu","Singil6-dong"
"BE_LiST32-0207","1335190","Yangpyeong Police Box","02-2635-6398","07272","Seoul","Yeongdeungpo-gu","Yangpyeong1-dong"
"BE_LiST32-0208","1332351","Yeouido Patrol Division","02-784-0112","07243","Seoul","Yeongdeungpo-gu","Yeoui-dong"
"BE_LiST32-0209","1334765","Yeongdeungpo Station Police Box","02-2678-3058","07306","Seoul","Yeongdeungpo-gu","Yeongdeungpobon-dong"
"BE_LiST32-0210","1332350","Jungang Patrol Division","02-2678-4554","07302","Seoul","Yeongdeungpo-gu","Dangsan1-dong"
"BE_LiST32-0211","1329352","Seoul Yongsan Police Station","182","04314","Seoul","Yongsan-gu","Cheongpa-dong"
"BE_LiST32-0212","1334748","Bogwang Police Box","02-2198-0142","04394","Seoul","Yongsan-gu","Bogwang-dong"
"BE_LiST32-0213","1334746","Yongsan Station Police Box","02-2198-0150","04378","Seoul","Yongsan-gu","Hangangno-dong"
"BE_LiST32-0214","1331403","Yongjung Patrol Division","02-2198-0116","04331","Seoul","Yongsan-gu","Huam-dong"
"BE_LiST32-0215","1331401","Wonhyo Patrol Division","02-2198-0191","04316","Seoul","Yongsan-gu","Wonhyoro1-dong"
"BE_LiST32-0216","1334747","Ichon Police Box","02-2198-0165","04422","Seoul","Yongsan-gu","Ichon1-dong"
"BE_LiST32-0217","1335512","Itaewon Police Box","02-2198-0125","04406","Seoul","Yongsan-gu","Itaewon1-dong"
"BE_LiST32-0218","1334745","Hangangno Police Box","02-2198-0158","04385","Seoul","Yongsan-gu","Hangangno-dong"
"BE_LiST32-0219","1335513","Hannam Police Box ","02-2198-0134","04410","Seoul","Yongsan-gu","Hannam-dong"
"BE_LiST32-0001","1320252","Seoul Metropolitan Police Agency","182","03169","Seoul","Jongno-gu","Sajik-dong"
"BE_LiST32-0002","1329667","Seoul Gangnam Police Station","182","06171","Seoul","Gangnam-gu","Samseong1-dong"
"BE_LiST32-0003","1334794","Nonhyeon 1(il) Police Box ","02-544-5555","06045","Seoul","Gangnam-gu","Nonhyeon1-dong"
"BE_LiST32-0004","1334795","Nonhyeon 2(i) Police Box ","02-543-0112","06053","Seoul","Gangnam-gu","Nonhyeon2-dong"
"BE_LiST32-0005","1334790","Samseong 1(il) Police Box ","02-511-5049","06083","Seoul","Gangnam-gu","Samseong1-dong"
"BE_LiST32-0006","1334791","Samseong 2(i) Police Box ","02-562-1628","06097","Seoul","Gangnam-gu","Samseong2-dong"
"BE_LiST32-0007","1334793","Sinsa Police Box","02-511-5087","06036","Seoul","Gangnam-gu","Sinsa-dong"
"BE_LiST32-0008","1334796","Apgujeong Police Box","02-542-1103","06004","Seoul","Gangnam-gu","Apgujeong-dong"
"BE_LiST32-0009","1332362","Yeoksam Patrol Division","02-562-1623","06144","Seoul","Gangnam-gu","Yeoksam1-dong"
"BE_LiST32-0010","1334792","Cheongdam Police Box","02-512-0112","06073","Seoul","Gangnam-gu","Cheongdam-dong"
"BE_LiST32-0011","1329742","Seoul Gangdong Police Station","182","05397","Seoul","Gangdong-gu","Seongnae1-dong"
"BE_LiST32-0012","1336176","Gangil Police Box","02-426-0112","05211","Seoul","Gangdong-gu","Gangil-dong"
"BE_LiST32-0013","1336177","Godeok Police Box","02-481-0113","05231","Seoul","Gangdong-gu","Godeok1-dong"
"BE_LiST32-0014","1331482","Gildong Patrol Division","02-478-0110","05350","Seoul","Gangdong-gu","Gil-dong"
"BE_LiST32-0015","1334804","Dunchon Police Box","02-477-0116","05413","Seoul","Gangdong-gu","Dunchon2-dong"
"BE_LiST32-0016","1334805","Myeongil Police Box","02-442-0112","05269","Seoul","Gangdong-gu","Myeongil2-dong"
"BE_LiST32-0017","1331481","Seongnae Patrol Division","02-478-0880","05397","Seoul","Gangdong-gu","Seongnae1-dong"
"BE_LiST32-0018","1331483","Amsa Patrol Division","02-427-0112","05236","Seoul","Gangdong-gu","Amsa3-dong"
"BE_LiST32-0019","1331480","Cheonho Patrol Division","02-478-0112","05246","Seoul","Gangdong-gu","Cheonho2-dong"
"BE_LiST32-0020","1332662","Seoul Gangbuk Police Station","182","01064","Seoul","Gangbuk-gu","Beon1-dong"
"BE_LiST32-0021","1332673","Mia Patrol Division","02-944-4801","01177","Seoul","Gangbuk-gu","Songcheon-dong"
"BE_LiST32-0022","1334782","Beon 3(sam) Police Box ","02-944-4808","01230","Seoul","Gangbuk-gu","Beon3-dong"
"BE_LiST32-0023","1334781","Beondong Police Box","02-944-4807","01067","Seoul","Gangbuk-gu","Beon1-dong"
"BE_LiST32-0024","1336184","Samyang Police Box","02-944-4102","01181","Seoul","Gangbuk-gu","Samyang-dong"
"BE_LiST32-0025","1332674","Solsaem Patrol Division","02-944-4802","01215","Seoul","Gangbuk-gu","Songjung-dong"
